#eta,sqrt(ADC),correction
0.037500,82.250000,0.047400
0.037500,82.750000,0.047400
0.037500,83.250000,0.047400
0.037500,83.750000,0.047400
0.037500,84.250000,0.047400
0.037500,84.750000,0.047400
0.037500,85.250000,0.047400
0.037500,85.750000,0.047400
0.037500,86.250000,0.047400
0.037500,86.750000,0.047400
0.037500,87.250000,0.047400
0.037500,87.750000,0.047400
0.037500,88.250000,0.047400
0.037500,88.750000,0.047400
0.037500,89.250000,0.047400
0.037500,89.750000,0.047400
0.037500,90.250000,0.047400
0.037500,90.750000,0.047400
0.037500,91.250000,0.047400
0.037500,91.750000,0.047400
0.037500,92.250000,0.047400
0.037500,92.750000,0.047400
0.037500,93.250000,0.047400
0.037500,93.750000,0.047400
0.037500,94.250000,0.047400
0.037500,94.750000,0.047400
0.037500,95.250000,0.047400
0.037500,95.750000,0.047400
0.037500,96.250000,0.047400
0.037500,96.750000,0.047400
0.037500,97.250000,0.047400
0.037500,97.750000,0.047400
0.037500,98.250000,0.047400
0.037500,98.750000,0.047400
0.037500,99.250000,0.047400
0.037500,99.750000,0.047400
0.037500,100.250000,0.047400
0.037500,100.750000,0.047400
0.037500,101.250000,0.047400
0.037500,101.750000,0.047400
0.037500,102.250000,0.047400
0.037500,102.750000,0.047400
0.037500,103.250000,0.047400
0.037500,103.750000,0.047400
0.037500,104.250000,0.047400
0.037500,104.750000,0.047400
0.037500,105.250000,0.047400
0.037500,105.750000,0.047400
0.037500,106.250000,0.047400
0.037500,106.750000,0.047400
0.037500,107.250000,0.047400
0.037500,107.750000,0.047400
0.037500,108.250000,0.047400
0.037500,108.750000,0.047400
0.037500,109.250000,0.047400
0.037500,109.750000,0.047400
0.037500,110.250000,0.047400
0.037500,110.750000,0.047400
0.037500,111.250000,0.047400
0.037500,111.750000,0.047400
0.037500,112.250000,0.047400
0.037500,112.750000,0.047400
0.037500,113.250000,0.047400
0.037500,113.750000,0.047400
0.037500,114.250000,0.047400
0.037500,114.750000,0.047400
0.037500,115.250000,0.047400
0.037500,115.750000,0.047400
0.037500,116.250000,0.047400
0.037500,116.750000,0.047400
0.037500,117.250000,0.047400
0.037500,117.750000,0.047400
0.037500,118.250000,0.047400
0.037500,118.750000,0.047400
0.037500,119.250000,0.047400
0.037500,119.750000,0.047400
0.037500,120.250000,0.047400
0.037500,120.750000,0.047400
0.037500,121.250000,0.047400
0.037500,121.750000,0.047400
0.037500,122.250000,0.047400
0.037500,122.750000,0.047400
0.037500,123.250000,0.047400
0.037500,123.750000,0.047400
0.037500,124.250000,0.047400
0.037500,124.750000,0.047400
0.037500,125.250000,0.047400
0.037500,125.750000,0.047400
0.037500,126.250000,0.047400
0.037500,126.750000,0.047400
0.037500,127.250000,0.047400
0.037500,127.750000,0.047400
0.037500,128.250000,0.047400
0.037500,128.750000,0.047400
0.037500,129.250000,0.047400
0.037500,129.750000,0.047400
0.037500,130.250000,0.047400
0.037500,130.750000,0.047400
0.037500,131.250000,0.047400
0.037500,131.750000,0.047400
0.037500,132.250000,0.047400
0.037500,132.750000,0.047400
0.037500,133.250000,0.047400
0.037500,133.750000,0.047400
0.037500,134.250000,0.047400
0.037500,134.750000,0.047400
0.037500,135.250000,0.047400
0.037500,135.750000,0.047400
0.037500,136.250000,0.047400
0.037500,136.750000,0.047400
0.037500,137.250000,0.047400
0.037500,137.750000,0.047400
0.037500,138.250000,0.047400
0.037500,138.750000,0.047400
0.037500,139.250000,0.047400
0.037500,139.750000,0.047400
0.037500,140.250000,0.047400
0.037500,140.750000,0.047400
0.037500,141.250000,0.047400
0.037500,141.750000,0.047400
0.037500,142.250000,0.047400
0.037500,142.750000,0.047400
0.037500,143.250000,0.047400
0.037500,143.750000,0.047400
0.037500,144.250000,0.047400
0.037500,144.750000,0.047400
0.037500,145.250000,0.047400
0.037500,145.750000,0.047400
0.037500,146.250000,0.047400
0.037500,146.750000,0.047400
0.037500,147.250000,0.047400
0.037500,147.750000,0.047400
0.037500,148.250000,0.047400
0.037500,148.750000,0.047400
0.037500,149.250000,0.047400
0.037500,149.750000,0.047400
0.062500,0.250000,0.040436
0.062500,0.750000,0.040436
0.062500,1.250000,0.040436
0.062500,1.750000,0.040436
0.062500,2.250000,0.040436
0.062500,2.750000,0.040436
0.062500,3.250000,0.040436
0.062500,3.750000,0.040436
0.062500,4.250000,0.040436
0.062500,4.750000,0.040436
0.062500,5.250000,0.040436
0.062500,5.750000,0.040436
0.062500,6.250000,0.040436
0.062500,6.750000,0.040856
0.062500,7.250000,0.041356
0.062500,7.750000,0.041856
0.062500,8.250000,0.042355
0.062500,8.750000,0.042855
0.062500,9.250000,0.043259
0.062500,9.750000,0.043531
0.062500,10.250000,0.043804
0.062500,10.750000,0.044076
0.062500,11.250000,0.044349
0.062500,11.750000,0.044621
0.062500,12.250000,0.044842
0.062500,12.750000,0.044968
0.062500,13.250000,0.045093
0.062500,13.750000,0.045218
0.062500,14.250000,0.045343
0.062500,14.750000,0.045468
0.062500,15.250000,0.045603
0.062500,15.750000,0.045745
0.062500,16.250000,0.045801
0.062500,16.750000,0.045817
0.062500,17.250000,0.045832
0.062500,17.750000,0.045847
0.062500,18.250000,0.045849
0.062500,18.750000,0.045812
0.062500,19.250000,0.045774
0.062500,19.750000,0.045736
0.062500,20.250000,0.045700
0.062500,20.750000,0.045702
0.062500,21.250000,0.045704
0.062500,21.750000,0.045700
0.062500,22.250000,0.045695
0.062500,22.750000,0.045674
0.062500,23.250000,0.045647
0.062500,23.750000,0.045620
0.062500,24.250000,0.045594
0.062500,24.750000,0.045566
0.062500,25.250000,0.045529
0.062500,25.750000,0.045492
0.062500,26.250000,0.045455
0.062500,26.750000,0.045418
0.062500,27.250000,0.045388
0.062500,27.750000,0.045359
0.062500,28.250000,0.045339
0.062500,28.750000,0.045321
0.062500,29.250000,0.045282
0.062500,29.750000,0.045232
0.062500,30.250000,0.045182
0.062500,30.750000,0.045132
0.062500,31.250000,0.045084
0.062500,31.750000,0.045123
0.062500,32.250000,0.045161
0.062500,32.750000,0.045199
0.062500,33.250000,0.045238
0.062500,33.750000,0.045266
0.062500,34.250000,0.045294
0.062500,34.750000,0.045338
0.062500,35.250000,0.045388
0.062500,35.750000,0.045405
0.062500,36.250000,0.045403
0.062500,36.750000,0.045400
0.062500,37.250000,0.045398
0.062500,37.750000,0.045395
0.062500,38.250000,0.045414
0.062500,38.750000,0.045435
0.062500,39.250000,0.045455
0.062500,39.750000,0.045476
0.062500,40.250000,0.045509
0.062500,40.750000,0.045545
0.062500,41.250000,0.045585
0.062500,41.750000,0.045627
0.062500,42.250000,0.045654
0.062500,42.750000,0.045677
0.062500,43.250000,0.045700
0.062500,43.750000,0.045723
